date,app_type,classification,score_borda,relative_score
2017-01-12,Free,Unknown,83244,0.34512437810945273
2017-01-12,Paid,Education Management,1083,0.004573460416129999
2017-01-12,Paid,Entertainment,13462,0.056849422088589154
2017-01-12,Paid,Hobby,9745,0.0411526978348909
2017-01-12,Paid,Licensing Exams,16876,0.0712665909350045
2017-01-12,Paid,Parents,392,0.0016553984147026407
2017-01-12,Paid,Preschool,17372,0.07336117668422008
2017-01-12,Paid,Professional,927,0.003914679414360581
2017-01-12,Paid,Subject Learning,35000,0.14780342988416434
2017-01-12,Paid,Teaching and Learning,290,0.0012246569904687903
2017-01-12,Paid,Translating,1065,0.004497447223618144
2017-01-12,Paid,Unknown,139966,0.5910701390619127
2017-01-12,Paid,Well-being,623,0.0026309010519381254
2017-01-13,Free,Cognitive Development,7448,0.03087893864013267
2017-01-13,Free,Education Management,5092,0.021111111111111112
2017-01-13,Free,Licensing Exam,10761,0.04461442786069652
2017-01-13,Free,Non-Education,33282,0.13798507462686568
2017-01-13,Free,Parents,2974,0.012330016583747928
2017-01-13,Free,Preschool,9892,0.04101160862354892
2017-01-13,Free,Professional & Career,1826,0.007570480928689884
2017-01-13,Free,Subject Learning,72389,0.30012023217247097
2017-01-13,Free,Teaching and Learning,15002,0.062197346600331674
2017-01-13,Free,Unknown,82534,0.3421807628524046
2017-01-13,Paid,Education Management,1167,0.00494001710168731
2017-01-13,Paid,Entertainment,11034,0.046707925192817294
2017-01-13,Paid,Hobby,8639,0.03656967244342474
2017-01-13,Paid,Licensing Exams,20947,0.0886705554661903
2017-01-13,Paid,Parents,496,0.002099613095490065
2017-01-13,Paid,Preschool,15047,0.06369531904806251
2017-01-13,Paid,Professional,843,0.0035684956441494452
2017-01-13,Paid,Subject Learning,35769,0.1514134290576293
2017-01-13,Paid,Teaching and Learning,560,0.0023705309142629766
2017-01-13,Paid,Translating,1004,0.00425002328200005
2017-01-13,Paid,Unknown,140122,0.59314916565778
2017-01-13,Paid,Well-being,606,0.0025652530965060067
2017-01-14,Free,Cognitive Development,8150,0.0337893864013267
2017-01-14,Free,Education Management,4969,0.020601160862354893
2017-01-14,Free,Licensing Exam,10820,0.04485903814262023
2017-01-14,Free,Non-Education,33639,0.13946517412935325
2017-01-14,Free,Parents,3148,0.013051409618573798
2017-01-14,Free,Preschool,9809,0.04066749585406302
2017-01-14,Free,Professional & Career,1850,0.007669983416252073
2017-01-14,Free,Subject Learning,71142,0.2949502487562189
2017-01-14,Free,Teaching and Learning,16307,0.06760779436152571
2017-01-14,Free,Unknown,81366,0.33733830845771146
2017-01-14,Paid,Education Management,999,0.004333135255412081
2017-01-14,Paid,Entertainment,9901,0.04294531748131634
2017-01-14,Paid,Hobby,7973,0.03458267006146199
2017-01-14,Paid,Licensing Exams,22033,0.0955675366191135
2017-01-14,Paid,Parents,458,0.0019865625094882215
2017-01-14,Paid,Preschool,13518,0.05863395633899952
2017-01-14,Paid,Professional,915,0.003968787546248303
2017-01-14,Paid,Subject Learning,38081,0.16517529896030778
2017-01-14,Paid,Teaching and Learning,770,0.0033398540006679706
2017-01-14,Paid,Translating,959,0.004159636346286473
2017-01-14,Paid,Unknown,134396,0.5829389847711333
2017-01-14,Paid,Well-being,546,0.002368260109564561
2017-01-15,Free,Cognitive Development,8029,0.033287728026534
2017-01-15,Free,Education Management,4846,0.020091210613598674
2017-01-15,Free,Licensing Exam,11264,0.04669983416252073
2017-01-15,Free,Non-Education,32967,0.13667910447761195
2017-01-15,Free,Parents,3474,0.014402985074626866
2017-01-15,Free,Preschool,7737,0.032077114427860695
2017-01-15,Free,Professional & Career,1728,0.007164179104477612
2017-01-15,Free,Subject Learning,71639,0.29701077943615256
2017-01-15,Free,Teaching and Learning,16421,0.0680804311774461
2017-01-15,Free,Unknown,83095,0.3445066334991708
2017-01-15,Paid,Education Management,1110,0.004688371150044772
2017-01-15,Paid,Entertainment,10803,0.045629255435976276
2017-01-15,Paid,Hobby,8091,0.034174424301812834
2017-01-15,Paid,Licensing Exams,21841,0.09225109395326835
2017-01-15,Paid,Parents,639,0.0026989812296203688
2017-01-15,Paid,Preschool,13511,0.05706719153896839
2017-01-15,Paid,Professional,751,0.003172042102417679
2017-01-15,Paid,Subject Learning,39784,0.16803798003007314
2017-01-15,Paid,Teaching and Learning,794,0.0033536636875095035
2017-01-15,Paid,Translating,699,0.0029524066971903565
2017-01-15,Paid,Unknown,138272,0.5840274375306223
2017-01-15,Paid,Well-being,461,0.0019471523424960718
2017-01-16,Free,Cognitive Development,8171,0.03387645107794362
2017-01-16,Free,Education Management,4337,0.017980928689883914
2017-01-16,Free,Licensing Exam,10738,0.044519071310116086
2017-01-16,Free,Non-Education,35867,0.1487023217247098
2017-01-16,Free,Parents,3216,0.013333333333333334
2017-01-16,Free,Preschool,10037,0.04161276948590381
2017-01-16,Free,Professional & Career,1720,0.007131011608623549
2017-01-16,Free,Subject Learning,69979,0.2901285240464345
2017-01-16,Free,Teaching and Learning,15251,0.06322968490878939
