year,country,rank_bin,app_type,unknown_ratio
2017,jp,"[170, 180)",Free,36.27450980392157
2017,jp,"[170, 180)",Paid,50.53221288515406
2017,jp,"[180, 190)",Free,36.134453781512605
2017,jp,"[180, 190)",Paid,52.7170868347339
2017,jp,"[190, 200)",Free,38.37535014005603
2017,jp,"[190, 200)",Paid,52.69662921348315
2017,no,"[0, 10)",Free,7.67341927562922
2017,no,"[0, 10)",Paid,86.39581409664513
2017,no,"[10, 20)",Free,13.812154696132598
2017,no,"[10, 20)",Paid,77.53462603878117
2017,no,"[20, 30)",Free,18.425414364640886
2017,no,"[20, 30)",Paid,73.71191135734072
2017,no,"[30, 40)",Free,27.18232044198895
2017,no,"[30, 40)",Paid,69.14127423822714
2017,no,"[40, 50)",Free,28.977900552486187
2017,no,"[40, 50)",Paid,65.9556786703601
2017,no,"[50, 60)",Free,33.646408839779006
2017,no,"[50, 60)",Paid,64.39267886855241
2017,no,"[60, 70)",Free,37.76243093922652
2017,no,"[60, 70)",Paid,61.798380340686954
2017,no,"[70, 80)",Free,42.4585635359116
2017,no,"[70, 80)",Paid,63.44573533578918
2017,no,"[80, 90)",Free,46.629834254143645
2017,no,"[80, 90)",Paid,61.25356125356125
2017,no,"[90, 100)",Free,45.58011049723757
2017,no,"[90, 100)",Paid,61.59544159544159
2017,no,"[100, 110)",Free,44.16990560799556
2017,no,"[100, 110)",Paid,60.865800865800864
2017,no,"[110, 120)",Free,42.55555555555556
2017,no,"[110, 120)",Paid,58.38150289017341
2017,no,"[120, 130)",Free,42.30555555555556
2017,no,"[120, 130)",Paid,61.743411526209094
2017,no,"[130, 140)",Free,41.36111111111111
2017,no,"[130, 140)",Paid,59.64033018867924
2017,no,"[140, 150)",Free,41.86111111111111
2017,no,"[140, 150)",Paid,61.85749734136831
2017,no,"[150, 160)",Free,40.22222222222222
2017,no,"[150, 160)",Paid,60.97701149425288
2017,no,"[160, 170)",Free,42.333333333333336
2017,no,"[160, 170)",Paid,62.19839142091153
2017,no,"[170, 180)",Free,42.47222222222222
2017,no,"[170, 180)",Paid,54.092526690391466
2017,no,"[180, 190)",Free,40.47222222222222
2017,no,"[180, 190)",Paid,54.666666666666664
2017,no,"[190, 200)",Free,38.416666666666664
2017,no,"[190, 200)",Paid,32.25806451612903
2017,pl,"[0, 10)",Free,28.790669122160832
2017,pl,"[0, 10)",Paid,77.2866789441375
2017,pl,"[10, 20)",Free,17.817679558011047
2017,pl,"[10, 20)",Paid,66.71270718232044
2017,pl,"[20, 30)",Free,23.56353591160221
2017,pl,"[20, 30)",Paid,65.33149171270718
2017,pl,"[30, 40)",Free,25.193370165745854
2017,pl,"[30, 40)",Paid,66.57458563535911
2017,pl,"[40, 50)",Free,25.386740331491715
2017,pl,"[40, 50)",Paid,66.10497237569061
2017,pl,"[50, 60)",Free,27.292817679558013
2017,pl,"[50, 60)",Paid,65.93922651933701
2017,pl,"[60, 70)",Free,31.988950276243095
2017,pl,"[60, 70)",Paid,64.12382531785516
2017,pl,"[70, 80)",Free,36.049723756906076
2017,pl,"[70, 80)",Paid,63.82271468144044
2017,pl,"[80, 90)",Free,38.12154696132597
2017,pl,"[80, 90)",Paid,64.92059069378658
2017,pl,"[90, 100)",Free,38.61878453038674
2017,pl,"[90, 100)",Paid,69.0489589195273
2017,pl,"[100, 110)",Free,41.049723756906076
2017,pl,"[100, 110)",Paid,68.63194046937608
2017,pl,"[110, 120)",Free,40.607734806629836
2017,pl,"[110, 120)",Paid,65.243553008596
2017,pl,"[120, 130)",Free,39.226519337016576
2017,pl,"[120, 130)",Paid,66.9054441260745
2017,pl,"[130, 140)",Free,38.25966850828729
